,Unnamed: 0,N,close_U,F,coeffs,method
0,0,2,True,"[1.         0.9999998  0.9999996  0.9999993  0.999999   0.9999988
 0.99999875 0.9999987  0.9999988  0.99999887 0.999999   0.99999917
 0.9999994  0.9999995  0.9999997  0.9999997  0.9999999  0.9999999
 0.9999999  0.99999994 0.99999994 0.9999999  0.99999994 0.9999998
 0.99999976 0.99999976 0.99999964 0.99999976 0.9999997  0.9999997
 0.99999964 0.9999997  0.9999997  0.99999964 0.9999997  0.9999998
 0.99999976 0.99999976 0.9999998  0.9999998  0.9999998  0.99999976
 0.9999998  0.9999997  0.9999997  0.9999997  0.9999998  0.99999976
 0.99999976 0.9999998  0.9999999  0.9999999  0.99999994 1.
 0.99999994 0.9999999  0.9999999  0.9999999  0.9999998  0.9999999
 0.9999999  0.9999998  0.99999976 0.99999976 0.99999964 0.9999994
 0.99999917 0.9999988  0.99999845 0.999998   0.99999756 0.9999972
 0.99999696 0.9999969  0.9999971  0.99999744 0.999998   0.9999987
 0.9999993  0.99999976 1.         0.99999976 0.9999988  0.9999973
 0.99999475 0.99999154 0.99998766 0.9999833  0.99997866 0.99997413
 0.99997026 0.99996734 0.999966   0.9999664  0.9999688  0.9999732
 0.9999794  0.9999864  0.99999344 0.99999857 0.99999946]","[[0.9847767 0.5369194 1.3003998]
 [4.8602953 1.5022064 2.4022977]
 [1.0856829 2.9447196 4.253858 ]]",trotter
1,1,2,False,"[0.999962   0.99983025 0.9997379  0.9996856  0.9996708  0.99969053
 0.99974024 0.9998141  0.9999057  1.0000075  1.0001135  1.0002148
 1.0003058  1.0003803  1.000433   1.0004606  1.0004606  1.000433
 1.0003774  1.0002965  1.000194   1.000073   0.999939   0.99979794
 0.99965566 0.99951756 0.9993898  0.9992775  0.99918425 0.9991147
 0.9990715  0.9990568  0.9990717  0.9991164  0.99919045 0.99929214
 0.9994196  0.99956954 0.99973965 0.99992496 1.0001215  1.0003246
 1.0005286  1.0007286  1.0009191  1.0010949  1.0012505  1.0013809
 1.001481   1.0015469  1.001575   1.0015634  1.0015097  1.0014141
 1.001277   1.0011002  1.0008875  1.0006437  1.0003737  1.0000855
 0.99978554 0.9994827  0.9991859  0.99890345 0.99864376 0.99841493
 0.99822366 0.99807596 0.9979766  0.9979284  0.9979326  0.997989
 0.9980953  0.9982483  0.9984422  0.9986706  0.9989266  0.9992016
 0.9994871  0.99977446 1.0000548  1.0003202  1.0005631  1.0007771
 1.0009569  1.0010983  1.0011984  1.0012563  1.0012714  1.0012454
 1.00118    1.0010799  1.0009483  1.0007911  1.0006137  1.0004222
 1.0002229  1.0000218  0.9998241  0.99963623 0.9994623 ]","[[0.9847767 0.5369194 1.3003998]
 [4.8602953 1.5022064 2.4022977]
 [1.0856829 2.9447196 4.253858 ]]",trotter
2,2,2,True,"[0.99999994 0.9999999  0.99999946 0.9999988  0.99999815 0.99999756
 0.9999971  0.9999968  0.9999968  0.9999968  0.9999971  0.9999973
 0.9999978  0.99999815 0.9999986  0.99999905 0.99999934 0.9999996
 0.99999976 0.9999999  1.         1.         0.99999994 0.9999998
 0.9999998  0.9999997  0.9999996  0.99999946 0.9999994  0.9999993
 0.99999934 0.9999993  0.9999992  0.99999917 0.9999993  0.99999934
 0.9999994  0.9999994  0.99999946 0.9999996  0.9999995  0.99999964
 0.99999976 0.9999997  0.9999998  0.9999998  0.9999999  0.99999994
 0.99999994 1.         0.99999994 1.         1.         1.
 0.99999994 0.9999999  0.9999998  0.9999998  0.9999997  0.99999964
 0.9999995  0.9999995  0.99999946 0.99999934 0.9999993  0.99999917
 0.99999917 0.99999905 0.99999905 0.99999905 0.99999905 0.9999991
 0.9999992  0.9999993  0.9999994  0.9999995  0.9999997  0.9999998
 0.99999994 1.         1.0000001  0.9999999  0.99999976 0.99999946
 0.99999917 0.9999987  0.9999983  0.9999978  0.9999973  0.99999684
 0.9999965  0.99999624 0.99999624 0.99999636 0.9999967  0.9999973
 0.999998   0.99999875 0.99999946 0.9999999  0.99999976]","[[0.7006061  0.97199136 0.84568226]
 [0.91981834 2.2933905  2.4181743 ]
 [2.4718814  0.5730995  3.3799787 ]]",trotter
3,3,2,False,"[0.9997203  0.99989146 1.0000465  1.0001851  1.0003064  1.0004102
 1.0004952  1.0005617  1.0006088  1.0006373  1.0006473  1.0006398
 1.000615   1.0005745  1.0005199  1.000452   1.0003738  1.0002866
 1.0001926  1.0000944  0.9999941  0.9998946  0.9997978  0.99970657
 0.99962246 0.9995483  0.9994852  0.9994351  0.99939924 0.99937814
 0.9993729  0.99938345 0.999409   0.9994498  0.9995038  0.99957085
 0.99964803 0.9997343  0.99982727 0.99992406 1.0000226  1.0001199
 1.0002145  1.000303   1.0003836  1.0004541  1.0005128  1.000558
 1.0005891  1.0006046  1.0006046  1.0005887  1.0005578  1.0005126
 1.0004537  1.0003835  1.0003033  1.0002148  1.0001208  1.0000228
 0.999924   0.99982625 0.99973214 0.9996437  0.9995636  0.999493
 0.9994337  0.9993876  0.9993553  0.99933785 0.9993352  0.99934775
 0.99937546 0.9994172  0.99947244 0.9995402  0.9996185  0.99970645
 0.9998009  0.99990106 1.0000038  1.0001074  1.0002095  1.000307
 1.0003983  1.0004811  1.0005534  1.0006118  1.0006558  1.0006825
 1.0006905  1.0006781  1.0006438  1.000587   1.0005053  1.0003988
 1.000266   1.0001065  0.9999194  0.9997043  0.9994604 ]","[[0.7006061  0.97199136 0.84568226]
 [0.91981834 2.2933905  2.4181743 ]
 [2.4718814  0.5730995  3.3799787 ]]",trotter
4,4,2,True,"[0.99999994 0.99999976 0.99999905 0.9999978  0.9999964  0.999995
 0.99999356 0.99999243 0.99999154 0.999991   0.9999908  0.99999094
 0.99999136 0.99999213 0.9999929  0.999994   0.9999951  0.9999962
 0.99999726 0.99999815 0.9999988  0.9999993  0.99999964 0.9999998
 0.99999964 0.99999946 0.99999905 0.9999988  0.9999983  0.99999785
 0.99999756 0.9999973  0.9999973  0.99999726 0.9999974  0.9999976
 0.9999979  0.9999983  0.99999875 0.99999905 0.9999994  0.9999996
 0.9999996  0.99999946 0.99999934 0.9999989  0.9999985  0.9999981
 0.99999756 0.9999971  0.9999967  0.99999654 0.99999636 0.9999964
 0.9999966  0.9999969  0.99999744 0.9999979  0.99999857 0.9999989
 0.99999934 0.9999996  0.9999997  0.9999996  0.9999993  0.99999875
 0.9999982  0.99999744 0.9999967  0.9999958  0.99999505 0.99999446
 0.99999404 0.9999937  0.99999374 0.9999939  0.9999943  0.9999949
 0.9999955  0.99999624 0.99999684 0.99999744 0.9999978  0.9999979
 0.99999785 0.99999744 0.99999666 0.99999577 0.99999446 0.9999932
 0.9999919  0.9999908  0.9999899  0.9999895  0.9999898  0.9999906
 0.9999919  0.99999356 0.9999954  0.9999968  0.99999684]","[[0.9672088  0.845172   0.7005211 ]
 [2.0356343  0.22100794 5.632266  ]
 [0.19069089 0.83013576 2.5378525 ]]",trotter
5,5,2,False,"[1.0001101  0.9998822  0.99971575 0.999602   0.9995356  0.9995093
 0.9995168  0.99955106 0.9996075  0.9996797  0.9997632  0.9998527
 0.9999446  1.0000348  1.0001202  1.0001979  1.0002654  1.0003215
 1.0003641  1.000393   1.0004071  1.000407   1.0003928  1.0003653
 1.0003252  1.0002743  1.0002141  1.0001462  1.0000722  0.99999434
 0.9999147  0.9998351  0.99975824 0.999685   0.9996184  0.99955904
 0.9995096  0.99947035 0.9994426  0.9994272  0.999425   0.9994363
 0.99946004 0.99949646 0.9995444  0.9996037  0.9996724  0.999749
 0.999832   0.9999194  1.00001    1.0001009  1.0001905  1.000277
 1.0003587  1.0004336  1.000501   1.0005592  1.0006067  1.0006438
 1.000669   1.0006821  1.0006838  1.0006729  1.0006509  1.0006175
 1.0005735  1.0005196  1.0004568  1.0003855  1.0003074  1.0002224
 1.0001329  1.000039   0.9999426  0.99984384 0.99974495 0.99964666
 0.99955046 0.9994574  0.99936885 0.99928653 0.9992122  0.9991469
 0.9990927  0.99905115 0.9990248  0.99901575 0.9990253  0.99905676
 0.99911237 0.99919456 0.9993057  0.9994498  0.99962896 0.9998457
 1.000103   1.0004035  1.0007501  1.0011446  1.0015897 ]","[[0.9672088  0.845172   0.7005211 ]
 [2.0356343  0.22100794 5.632266  ]
 [0.19069089 0.83013576 2.5378525 ]]",trotter
6,6,2,True,"[0.99999994 0.99999774 0.9999927  0.99998677 0.9999816  0.9999777
 0.9999756  0.9999754  0.99997675 0.9999792  0.99998254 0.9999862
 0.99998987 0.9999931  0.99999577 0.9999978  0.9999991  0.99999964
 0.9999997  0.99999934 0.9999988  0.9999983  0.99999774 0.99999744
 0.9999974  0.9999976  0.999998   0.99999857 0.99999917 0.9999995
 0.9999998  0.9999999  0.9999996  0.9999989  0.99999815 0.9999971
 0.999996   0.999995   0.9999942  0.9999937  0.9999936  0.99999386
 0.9999945  0.99999535 0.99999636 0.99999744 0.99999833 0.99999905
 0.99999964 0.99999994 0.99999994 0.9999999  0.99999976 0.9999996
 0.9999994  0.9999994  0.99999946 0.9999995  0.9999997  0.9999997
 0.99999976 0.99999976 0.99999964 0.9999996  0.9999995  0.99999946
 0.99999946 0.99999964 0.9999997  0.9999998  0.9999997  0.9999995
 0.99999934 0.999999   0.99999875 0.9999985  0.9999985  0.9999988
 0.9999993  0.99999976 1.         0.9999996  0.9999983  0.99999547
 0.99999124 0.99998504 0.99997723 0.99996805 0.999958   0.99994797
 0.9999388  0.9999317  0.9999275  0.9999273  0.99993145 0.9999401
 0.9999526  0.9999677  0.9999831  0.9999953  0.99999994]","[[1.1335437 0.51177   0.8388837]
 [4.5750003 1.010811  5.8529863]
 [1.580349  2.5954988 4.2202225]]",trotter
7,7,2,False,"[1.0009128  0.99998194 0.9992289  0.99863875 0.99819785 0.99788934
 0.99769866 0.9976101  0.9976087  0.99768126 0.9978131  0.99799216
 0.9982064  0.99844545 0.99869984 0.9989607  0.9992209  0.999474
 0.9997147  0.9999386  1.0001416  1.0003215  1.0004745  1.0005999
 1.0006955  1.0007608  1.0007944  1.0007977  1.0007694  1.0007107
 1.000623   1.0005074  1.0003667  1.0002047  1.000025   0.9998324
 0.9996333  0.9994338  0.9992419  0.9990651  0.99891114 0.99878883
 0.9987055  0.99866766 0.9986813  0.9987501  0.9988758  0.99905825
 0.9992929  0.9995744  0.99989396 1.0002408  1.0006001  1.0009573
 1.001297   1.0016029  1.0018598  1.002054   1.0021747  1.0022149
 1.00217    1.0020412  1.001833   1.0015548  1.0012195  1.000843
 1.0004445  1.0000427  0.9996574  0.99930793 0.9990099  0.9987777
 0.9986207  0.99854463 0.99855125 0.9986372  0.99879515 0.9990159
 0.9992863  0.99959093 0.99991524 1.000243   1.0005587  1.0008496
 1.0011039  1.0013123  1.0014682  1.0015686  1.0016118  1.0015996
 1.0015352  1.0014247  1.0012748  1.0010942  1.0008914  1.000675
 1.0004543  1.0002364  1.0000294  0.99983895 0.9996692 ]","[[1.1335437 0.51177   0.8388837]
 [4.5750003 1.010811  5.8529863]
 [1.580349  2.5954988 4.2202225]]",trotter
8,8,2,True,"[0.99999994 0.9999943  0.99998003 0.99996257 0.9999455  0.99993134
 0.9999214  0.9999163  0.999916   0.99991983 0.99992704 0.9999364
 0.999947   0.99995774 0.9999678  0.9999767  0.999984   0.99998957
 0.9999932  0.99999535 0.99999624 0.99999595 0.999995   0.9999936
 0.999992   0.99999046 0.99998903 0.99998784 0.9999869  0.999986
 0.9999855  0.99998516 0.999985   0.999985   0.99998516 0.9999855
 0.99998605 0.99998677 0.9999876  0.9999886  0.9999897  0.99999076
 0.9999919  0.9999929  0.99999386 0.9999946  0.9999951  0.9999954
 0.99999565 0.9999955  0.9999952  0.9999949  0.99999434 0.99999374
 0.9999931  0.9999922  0.999991   0.99998945 0.99998724 0.9999842
 0.9999802  0.99997514 0.9999689  0.9999616  0.9999533  0.9999446
 0.999936   0.99992806 0.9999217  0.9999173  0.99991584 0.9999176
 0.9999228  0.9999313  0.9999425  0.99995553 0.9999692  0.99998194
 0.99999225 0.9999987  0.99999964 0.9999942  0.9999818  0.9999624
 0.99993646 0.99990535 0.999871   0.99983567 0.99980235 0.99977404
 0.99975353 0.9997436  0.9997462  0.9997624  0.9997919  0.9998328
 0.99988127 0.9999313  0.999974   0.9999982  0.99998945]","[[0.77420086 1.1963279  1.2175426 ]
 [5.256174   5.6312294  2.5042167 ]
 [0.9797947  3.2330844  1.5808452 ]]",trotter
9,9,2,False,"[1.000118   0.9992571  0.99864    0.99825156 0.9980695  0.99806803
 0.99821764 0.9984865  0.9988406  0.999247   0.9996739  1.00009
 1.0004684  1.0007865  1.0010273  1.001178   1.0012324  1.0011894
 1.0010543  1.0008357  1.0005481  1.0002085  0.99983525 0.99944943
 0.9990712  0.99872094 0.9984163  0.99817365 0.998005   0.99792045
 0.99792534 0.9980221  0.99820924 0.9984823  0.9988328  0.999251
 0.99972314 1.0002348  1.0007707  1.0013136  1.0018458  1.0023518
 1.0028147  1.0032189  1.0035512  1.0037991  1.003953   1.0040053
 1.003951   1.0037873  1.0035161  1.0031403  1.0026666  1.0021057
 1.001469   1.0007726  1.0000324  0.99926853 0.99850106 0.9977503
 0.99703753 0.99638224 0.9958032  0.9953169  0.99493676 0.9946728
 0.994532   0.99451566 0.99462295 0.9948465  0.99517673 0.99559987
 0.99609894 0.9966544  0.99724513 0.9978498  0.9984466  0.99901444
 0.9995348  0.9999907  1.0003693  1.0006604  1.0008591  1.0009631
 1.0009758  1.0009034  1.0007576  1.000552   1.0003045  1.0000346
 0.9997648  0.99951804 0.9993177  0.9991881  0.99915135 0.99922925
 0.99944067 0.99980307 1.00033    1.0010318  1.0019144 ]","[[0.77420086 1.1963279  1.2175426 ]
 [5.256174   5.6312294  2.5042167 ]
 [0.9797947  3.2330844  1.5808452 ]]",trotter
